Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
0,545;1,021;0,942;0,244;80,92;102,05;298,90
0,550;1,021;0,942;0,244;80,92;102,05;298,90
0,555;1,016;0,942;0,249;81,07;101,56;298,90
0,560;1,016;0,942;0,244;80,92;101,56;298,90
0,565;1,016;0,942;0,244;80,92;101,56;298,90
0,570;1,016;0,942;0,249;81,07;101,56;298,90
0,575;1,016;0,942;0,249;81,07;101,56;298,90
0,580;1,016;0,942;0,249;81,07;101,56;298,90
0,585;1,021;0,942;0,244;80,92;102,05;298,90
0,590;1,016;0,942;0,249;81,07;101,56;298,90
0,595;1,016;0,942;0,244;80,92;101,56;298,90
0,600;1,016;0,942;0,244;80,92;101,56;298,90
0,605;1,016;0,937;0,244;80,92;101,56;298,58
0,610;1,016;0,942;0,244;80,92;101,56;298,90
0,615;1,016;0,942;0,249;81,07;101,56;298,90
0,620;1,016;0,942;0,244;80,92;101,56;298,90
0,625;1,016;0,937;0,244;80,92;101,56;298,58
0,630;1,016;0,942;0,249;81,07;101,56;298,90
0,635;1,016;0,942;0,254;81,22;101,56;298,90
0,640;1,016;0,942;0,249;81,07;101,56;298,90
0,645;1,016;0,942;0,244;80,92;101,56;298,90
0,650;1,016;0,942;0,244;80,92;101,56;298,90
0,655;1,016;0,942;0,244;80,92;101,56;298,90
0,660;1,016;0,942;0,244;80,92;101,56;298,90
0,665;1,016;0,942;0,249;81,07;101,56;298,90
0,670;1,016;0,942;0,244;80,92;101,56;298,90
0,675;1,016;0,947;0,249;81,07;101,56;299,21
0,680;1,016;0,942;0,244;80,92;101,56;298,90
0,685;1,016;0,942;0,244;80,92;101,56;298,90
0,690;1,016;0,942;0,244;80,92;101,56;298,90
0,695;1,016;0,942;0,244;80,92;101,56;298,90
0,700;1,016;0,942;0,244;80,92;101,56;298,90
0,705;1,016;0,942;0,249;81,07;101,56;298,90
0,710;1,016;0,942;0,244;80,92;101,56;298,90
0,715;1,021;0,942;0,249;81,07;102,05;298,90
0,720;1,016;0,937;0,249;81,07;101,56;298,58
0,725;1,016;0,942;0,249;81,07;101,56;298,90
0,730;1,011;0,942;0,249;81,07;101,07;298,90
0,735;1,016;0,942;0,244;80,92;101,56;298,90
0,740;1,016;0,942;0,249;81,07;101,56;298,90
0,745;1,016;0,942;0,244;80,92;101,56;298,90
0,750;1,016;0,942;0,244;80,92;101,56;298,90
0,755;1,016;0,942;0,249;81,07;101,56;298,90
0,760;1,016;0,937;0,244;80,92;101,56;298,58
0,765;1,016;0,942;0,249;81,07;101,56;298,90
0,770;1,021;0,942;0,244;80,92;102,05;298,90
0,775;1,016;0,942;0,249;81,07;101,56;298,90
0,780;1,016;0,937;0,244;80,92;101,56;298,58
0,785;1,016;0,942;0,244;80,92;101,56;298,90
0,790;1,016;0,942;0,249;81,07;101,56;298,90
0,795;1,016;0,942;0,244;80,92;101,56;298,90
0,800;1,016;0,942;0,249;81,07;101,56;298,90
0,805;1,016;0,942;0,249;81,07;101,56;298,90
0,810;1,016;0,942;0,244;80,92;101,56;298,90
0,815;1,016;0,942;0,249;81,07;101,56;298,90
0,820;1,016;0,942;0,244;80,92;101,56;298,90
0,825;1,016;0,942;0,249;81,07;101,56;298,90
0,830;1,016;0,942;0,244;80,92;101,56;298,90
0,835;1,016;0,937;0,244;80,92;101,56;298,58
0,840;1,016;0,942;0,249;81,07;101,56;298,90
0,845;1,016;0,947;0,244;80,92;101,56;299,21
0,850;1,016;0,942;0,249;81,07;101,56;298,90
0,855;1,016;0,933;0,244;80,92;101,56;298,26
0,860;1,021;0,942;0,244;80,92;102,05;298,90
0,865;1,016;0,942;0,249;81,07;101,56;298,90
0,870;1,016;0,942;0,244;80,92;101,56;298,90
0,875;1,016;0,947;0,244;80,92;101,56;299,21
0,880;1,021;0,942;0,244;80,92;102,05;298,90
0,885;1,025;0,942;0,249;81,07;102,54;298,90
0,890;1,016;0,942;0,244;80,92;101,56;298,90
0,895;1,021;0,937;0,254;81,22;102,05;298,58
0,900;1,016;0,942;0,249;81,07;101,56;298,90
0,905;1,016;0,942;0,244;80,92;101,56;298,90
0,910;1,016;0,942;0,239;80,76;101,56;298,90
0,915;1,016;0,942;0,244;80,92;101,56;298,90
0,920;1,016;0,942;0,244;80,92;101,56;298,90
0,925;1,016;0,942;0,244;80,92;101,56;298,90
0,930;1,016;0,942;0,244;80,92;101,56;298,90
0,935;1,016;0,942;0,244;80,92;101,56;298,90
0,940;1,016;0,947;0,249;81,07;101,56;299,21
0,945;1,016;0,947;0,244;80,92;101,56;299,21
0,950;1,016;0,947;0,249;81,07;101,56;299,21
0,955;1,016;0,947;0,244;80,92;101,56;299,21
0,960;1,021;0,942;0,244;80,92;102,05;298,90
0,965;1,016;0,933;0,244;80,92;101,56;298,26
0,970;1,016;0,942;0,244;80,92;101,56;298,90
0,975;1,021;0,947;0,249;81,07;102,05;299,21
0,980;1,011;0,942;0,249;81,07;101,07;298,90
0,985;1,016;0,947;0,244;80,92;101,56;299,21
0,990;1,016;0,942;0,239;80,76;101,56;298,90
0,995;1,016;0,942;0,244;80,92;101,56;298,90
1,000;1,016;0,942;0,254;81,22;101,56;298,90
1,005;1,016;0,942;0,264;81,53;101,56;298,90
1,010;1,021;0,942;0,244;80,92;102,05;298,90
1,015;1,016;0,942;0,239;80,76;101,56;298,90
1,020;1,016;0,942;0,244;80,92;101,56;298,90
1,025;1,016;0,942;0,249;81,07;101,56;298,90
1,030;1,016;0,942;0,249;81,07;101,56;298,90
1,035;1,016;0,942;0,244;80,92;101,56;298,90
1,040;1,016;0,942;0,249;81,07;101,56;298,90
1,045;1,016;0,942;0,244;80,92;101,56;298,90
1,050;1,016;0,942;0,244;80,92;101,56;298,90
1,055;1,016;0,937;0,249;81,07;101,56;298,58
1,060;1,016;0,942;0,244;80,92;101,56;298,90
1,065;1,016;0,942;0,244;80,92;101,56;298,90
1,070;1,016;0,942;0,244;80,92;101,56;298,90
1,075;1,016;0,942;0,249;81,07;101,56;298,90
1,080;1,016;0,942;0,249;81,07;101,56;298,90
1,085;1,016;0,942;0,244;80,92;101,56;298,90
1,090;1,016;0,942;0,249;81,07;101,56;298,90
1,095;1,021;0,942;0,244;80,92;102,05;298,90
1,100;1,016;0,942;0,244;80,92;101,56;298,90
1,105;1,016;0,942;0,249;81,07;101,56;298,90
1,110;1,016;0,942;0,244;80,92;101,56;298,90
1,115;1,016;0,937;0,244;80,92;101,56;298,58
1,120;1,016;0,937;0,244;80,92;101,56;298,58
1,125;1,016;0,942;0,249;81,07;101,56;298,90
1,130;1,021;0,942;0,249;81,07;102,05;298,90
1,135;1,016;0,942;0,234;80,61;101,56;298,90
1,140;1,016;0,942;0,249;81,07;101,56;298,90
1,145;1,016;0,942;0,249;81,07;101,56;298,90
1,150;1,016;0,942;0,249;81,07;101,56;298,90
1,155;1,016;0,942;0,249;81,07;101,56;298,90
1,160;1,016;0,937;0,244;80,92;101,56;298,58
1,165;1,016;0,942;0,249;81,07;101,56;298,90
1,170;1,016;0,942;0,249;81,07;101,56;298,90
1,175;1,016;0,942;0,249;81,07;101,56;298,90
1,180;1,016;0,942;0,244;80,92;101,56;298,90
1,185;1,016;0,942;0,244;80,92;101,56;298,90
1,190;1,016;0,947;0,249;81,07;101,56;299,21
1,195;1,016;0,942;0,249;81,07;101,56;298,90
1,200;1,016;0,942;0,244;80,92;101,56;298,90
1,205;1,011;0,947;0,244;80,92;101,07;299,21
1,210;1,016;0,942;0,244;80,92;101,56;298,90
1,215;1,016;0,942;0,249;81,07;101,56;298,90
1,220;1,016;0,942;0,244;80,92;101,56;298,90
1,225;1,016;0,942;0,249;81,07;101,56;298,90
1,230;1,016;0,942;0,244;80,92;101,56;298,90
1,235;1,016;0,942;0,244;80,92;101,56;298,90
1,240;1,016;0,942;0,244;80,92;101,56;298,90
1,245;1,016;0,942;0,249;81,07;101,56;298,90
1,250;1,016;0,942;0,244;80,92;101,56;298,90
1,255;1,016;0,942;0,244;80,92;101,56;298,90
1,260;1,016;0,942;0,244;80,92;101,56;298,90
1,265;1,016;0,942;0,249;81,07;101,56;298,90
1,270;1,016;0,942;0,244;80,92;101,56;298,90
1,275;1,016;0,942;0,249;81,07;101,56;298,90
1,280;1,016;0,942;0,249;81,07;101,56;298,90
1,285;1,016;0,937;0,244;80,92;101,56;298,58
1,290;1,016;0,942;0,249;81,07;101,56;298,90
1,295;1,016;0,942;0,244;80,92;101,56;298,90
1,300;1,016;0,942;0,244;80,92;101,56;298,90
1,305;1,016;0,942;0,249;81,07;101,56;298,90
1,310;1,021;0,942;0,249;81,07;102,05;298,90
