Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
0,545;1,040;0,947;0,234;80,61;104,00;299,21
0,550;1,040;0,952;0,220;80,16;104,00;299,53
0,555;1,040;0,947;0,225;80,31;104,00;299,21
0,560;1,040;0,952;0,225;80,31;104,00;299,53
0,565;1,035;0,947;0,215;80,00;103,52;299,21
0,570;1,040;0,947;0,220;80,16;104,00;299,21
0,575;1,035;0,947;0,239;80,76;103,52;299,21
0,580;1,040;0,947;0,220;80,16;104,00;299,21
0,585;1,040;0,947;0,220;80,16;104,00;299,21
0,590;1,040;0,947;0,220;80,16;104,00;299,21
0,595;1,040;0,947;0,234;80,61;104,00;299,21
0,600;1,040;0,947;0,220;80,16;104,00;299,21
0,605;1,040;0,947;0,220;80,16;104,00;299,21
0,610;1,040;0,947;0,220;80,16;104,00;299,21
0,615;1,040;0,952;0,220;80,16;104,00;299,53
0,620;1,035;0,947;0,225;80,31;103,52;299,21
0,625;1,040;0,947;0,220;80,16;104,00;299,21
0,630;1,035;0,952;0,220;80,16;103,52;299,53
0,635;1,040;0,947;0,220;80,16;104,00;299,21
0,640;1,035;0,947;0,225;80,31;103,52;299,21
0,645;1,040;0,957;0,220;80,16;104,00;299,85
0,650;1,040;0,947;0,225;80,31;104,00;299,21
0,655;1,040;0,947;0,220;80,16;104,00;299,21
0,660;1,040;0,952;0,220;80,16;104,00;299,53
0,665;1,040;0,947;0,220;80,16;104,00;299,21
0,670;1,040;0,952;0,220;80,16;104,00;299,53
0,675;1,040;0,947;0,229;80,46;104,00;299,21
0,680;1,040;0,947;0,220;80,16;104,00;299,21
0,685;1,035;0,947;0,225;80,31;103,52;299,21
0,690;1,040;0,947;0,220;80,16;104,00;299,21
0,695;1,035;0,947;0,215;80,00;103,52;299,21
0,700;1,040;0,952;0,220;80,16;104,00;299,53
0,705;1,040;0,952;0,220;80,16;104,00;299,53
0,710;1,040;0,947;0,229;80,46;104,00;299,21
0,715;1,040;0,947;0,220;80,16;104,00;299,21
0,720;1,040;0,947;0,220;80,16;104,00;299,21
0,725;1,040;0,947;0,225;80,31;104,00;299,21
0,730;1,035;0,952;0,220;80,16;103,52;299,53
0,735;1,040;0,952;0,220;80,16;104,00;299,53
0,740;1,035;0,947;0,220;80,16;103,52;299,21
0,745;1,040;0,947;0,220;80,16;104,00;299,21
0,750;1,035;0,952;0,225;80,31;103,52;299,53
0,755;1,040;0,947;0,220;80,16;104,00;299,21
0,760;1,040;0,947;0,220;80,16;104,00;299,21
0,765;1,040;0,947;0,225;80,31;104,00;299,21
0,770;1,040;0,952;0,220;80,16;104,00;299,53
0,775;1,040;0,947;0,225;80,31;104,00;299,21
0,780;1,040;0,952;0,220;80,16;104,00;299,53
0,785;1,040;0,947;0,220;80,16;104,00;299,21
0,790;1,040;0,947;0,220;80,16;104,00;299,21
0,795;1,035;0,947;0,220;80,16;103,52;299,21
0,800;1,040;0,947;0,220;80,16;104,00;299,21
0,805;1,035;0,947;0,220;80,16;103,52;299,21
0,810;1,040;0,947;0,220;80,16;104,00;299,21
0,815;1,040;0,952;0,225;80,31;104,00;299,53
0,820;1,040;0,947;0,220;80,16;104,00;299,21
0,825;1,040;0,947;0,225;80,31;104,00;299,21
0,830;1,035;0,947;0,220;80,16;103,52;299,21
0,835;1,040;0,947;0,220;80,16;104,00;299,21
0,840;1,035;0,947;0,220;80,16;103,52;299,21
0,845;1,040;0,947;0,220;80,16;104,00;299,21
0,850;1,040;0,947;0,220;80,16;104,00;299,21
0,855;1,040;0,947;0,229;80,46;104,00;299,21
0,860;1,040;0,947;0,220;80,16;104,00;299,21
0,865;1,040;0,947;0,220;80,16;104,00;299,21
0,870;1,040;0,947;0,220;80,16;104,00;299,21
0,875;1,040;0,947;0,220;80,16;104,00;299,21
0,880;1,040;0,952;0,220;80,16;104,00;299,53
0,885;1,035;0,947;0,220;80,16;103,52;299,21
0,890;1,040;0,952;0,220;80,16;104,00;299,53
0,895;1,035;0,952;0,225;80,31;103,52;299,53
0,900;1,040;0,947;0,220;80,16;104,00;299,21
0,905;1,035;0,947;0,200;79,55;103,52;299,21
0,910;1,040;0,947;0,220;80,16;104,00;299,21
0,915;1,040;0,952;0,220;80,16;104,00;299,53
0,920;1,040;0,947;0,220;80,16;104,00;299,21
0,925;1,040;0,947;0,225;80,31;104,00;299,21
0,930;1,040;0,947;0,220;80,16;104,00;299,21
0,935;1,040;0,947;0,220;80,16;104,00;299,21
0,940;1,035;0,947;0,220;80,16;103,52;299,21
0,945;1,040;0,947;0,220;80,16;104,00;299,21
0,950;1,035;0,947;0,220;80,16;103,52;299,21
0,955;1,040;0,947;0,220;80,16;104,00;299,21
0,960;1,040;0,952;0,220;80,16;104,00;299,53
0,965;1,040;0,947;0,220;80,16;104,00;299,21
0,970;1,040;0,947;0,220;80,16;104,00;299,21
0,975;1,040;0,947;0,220;80,16;104,00;299,21
0,980;1,040;0,947;0,220;80,16;104,00;299,21
0,985;1,040;0,947;0,225;80,31;104,00;299,21
0,990;1,040;0,947;0,220;80,16;104,00;299,21
0,995;1,035;0,947;0,220;80,16;103,52;299,21
1,000;1,040;0,947;0,220;80,16;104,00;299,21
1,005;1,035;0,952;0,225;80,31;103,52;299,53
1,010;1,040;0,947;0,220;80,16;104,00;299,21
1,015;1,040;0,952;0,225;80,31;104,00;299,53
1,020;1,040;0,947;0,220;80,16;104,00;299,21
1,025;1,040;0,947;0,220;80,16;104,00;299,21
1,030;1,035;0,952;0,225;80,31;103,52;299,53
1,035;1,040;0,952;0,220;80,16;104,00;299,53
1,040;1,040;0,947;0,225;80,31;104,00;299,21
1,045;1,040;0,952;0,220;80,16;104,00;299,53
1,050;1,040;0,947;0,225;80,31;104,00;299,21
1,055;1,040;0,947;0,220;80,16;104,00;299,21
1,060;1,040;0,952;0,220;80,16;104,00;299,53
1,065;1,040;0,947;0,225;80,31;104,00;299,21
1,070;1,040;0,947;0,220;80,16;104,00;299,21
1,075;1,035;0,947;0,220;80,16;103,52;299,21
1,080;1,040;0,947;0,220;80,16;104,00;299,21
1,085;1,040;0,952;0,225;80,31;104,00;299,53
1,090;1,040;0,947;0,220;80,16;104,00;299,21
1,095;1,035;0,952;0,220;80,16;103,52;299,53
1,100;1,040;0,947;0,225;80,31;104,00;299,21
1,105;1,040;0,947;0,220;80,16;104,00;299,21
1,110;1,040;0,952;0,220;80,16;104,00;299,53
1,115;1,040;0,952;0,220;80,16;104,00;299,53
1,120;1,040;0,952;0,220;80,16;104,00;299,53
1,125;1,040;0,952;0,220;80,16;104,00;299,53
1,130;1,035;0,947;0,220;80,16;103,52;299,21
1,135;1,040;0,952;0,220;80,16;104,00;299,53
1,140;1,040;0,947;0,225;80,31;104,00;299,21
1,145;1,040;0,947;0,225;80,31;104,00;299,21
1,150;1,040;0,947;0,220;80,16;104,00;299,21
1,155;1,040;0,947;0,220;80,16;104,00;299,21
1,160;1,040;0,952;0,220;80,16;104,00;299,53
1,165;1,040;0,947;0,220;80,16;104,00;299,21
1,170;1,040;0,947;0,220;80,16;104,00;299,21
1,175;1,035;0,947;0,234;80,61;103,52;299,21
1,180;1,040;0,947;0,220;80,16;104,00;299,21
1,185;1,035;0,952;0,225;80,31;103,52;299,53
1,190;1,035;0,947;0,220;80,16;103,52;299,21
1,195;1,040;0,947;0,225;80,31;104,00;299,21
1,200;1,040;0,947;0,220;80,16;104,00;299,21
1,205;1,035;0,952;0,220;80,16;103,52;299,53
1,210;1,040;0,947;0,220;80,16;104,00;299,21
1,215;1,040;0,952;0,220;80,16;104,00;299,53
1,220;1,035;0,952;0,220;80,16;103,52;299,53
1,225;1,040;0,952;0,220;80,16;104,00;299,53
1,230;1,040;0,952;0,220;80,16;104,00;299,53
1,235;1,040;0,952;0,220;80,16;104,00;299,53
1,240;1,040;0,952;0,225;80,31;104,00;299,53
1,245;1,040;0,957;0,220;80,16;104,00;299,85
1,250;1,040;0,947;0,225;80,31;104,00;299,21
1,255;1,040;0,952;0,220;80,16;104,00;299,53
1,260;1,040;0,947;0,225;80,31;104,00;299,21
1,265;1,040;0,947;0,220;80,16;104,00;299,21
1,270;1,040;0,957;0,220;80,16;104,00;299,85
1,275;1,035;0,947;0,220;80,16;103,52;299,21
1,280;1,040;0,952;0,220;80,16;104,00;299,53
1,285;1,040;0,947;0,220;80,16;104,00;299,21
1,290;1,045;0,947;0,220;80,16;104,49;299,21
1,295;1,040;0,952;0,229;80,46;104,00;299,53
1,300;1,040;0,947;0,220;80,16;104,00;299,21
1,305;1,040;0,952;0,225;80,31;104,00;299,53
1,310;1,040;0,947;0,210;79,85;104,00;299,21
1,315;1,040;0,952;0,225;80,31;104,00;299,53
1,320;1,040;0,947;0,220;80,16;104,00;299,21
1,325;1,040;0,947;0,220;80,16;104,00;299,21
1,330;1,035;0,947;0,220;80,16;103,52;299,21
1,335;1,040;0,947;0,220;80,16;104,00;299,21
1,340;1,040;0,947;0,220;80,16;104,00;299,21
1,345;1,040;0,947;0,220;80,16;104,00;299,21
1,350;1,040;0,952;0,220;80,16;104,00;299,53
1,355;1,040;0,952;0,220;80,16;104,00;299,53
1,360;1,040;0,952;0,220;80,16;104,00;299,53
1,365;1,040;0,947;0,220;80,16;104,00;299,21
1,370;1,040;0,947;0,220;80,16;104,00;299,21
1,375;1,040;0,947;0,229;80,46;104,00;299,21
1,380;1,040;0,947;0,220;80,16;104,00;299,21
1,385;1,035;0,952;0,220;80,16;103,52;299,53
1,390;1,040;0,947;0,220;80,16;104,00;299,21
1,395;1,040;0,952;0,225;80,31;104,00;299,53
1,400;1,040;0,947;0,220;80,16;104,00;299,21
1,405;1,040;0,952;0,220;80,16;104,00;299,53
1,410;1,040;0,947;0,220;80,16;104,00;299,21
1,415;1,040;0,952;0,220;80,16;104,00;299,53
1,420;1,045;0,947;0,220;80,16;104,49;299,21
1,425;1,045;0,947;0,220;80,16;104,49;299,21
1,430;1,035;0,947;0,220;80,16;103,52;299,21
1,435;1,040;0,952;0,220;80,16;104,00;299,53
1,440;1,040;0,947;0,220;80,16;104,00;299,21
1,445;1,040;0,947;0,220;80,16;104,00;299,21
1,450;1,040;0,952;0,225;80,31;104,00;299,53
1,455;1,040;0,947;0,210;79,85;104,00;299,21
1,460;1,035;0,947;0,220;80,16;103,52;299,21
1,465;1,040;0,947;0,220;80,16;104,00;299,21
1,470;1,040;0,947;0,225;80,31;104,00;299,21
1,475;1,040;0,947;0,225;80,31;104,00;299,21
1,480;1,040;0,952;0,220;80,16;104,00;299,53
1,485;1,040;0,947;0,220;80,16;104,00;299,21
1,490;1,040;0,947;0,220;80,16;104,00;299,21
1,495;1,040;0,947;0,220;80,16;104,00;299,21
1,500;1,040;0,947;0,220;80,16;104,00;299,21
1,505;1,040;0,947;0,225;80,31;104,00;299,21
1,510;1,040;0,947;0,225;80,31;104,00;299,21
1,515;1,045;0,952;0,220;80,16;104,49;299,53
1,520;1,040;0,947;0,225;80,31;104,00;299,21
1,525;1,045;0,947;0,220;80,16;104,49;299,21
1,530;1,040;0,952;0,220;80,16;104,00;299,53
1,535;1,045;0,947;0,220;80,16;104,49;299,21
1,540;1,035;0,947;0,220;80,16;103,52;299,21
1,545;1,040;0,952;0,220;80,16;104,00;299,53
1,550;1,035;0,947;0,220;80,16;103,52;299,21
1,555;1,045;0,947;0,220;80,16;104,49;299,21
1,560;1,040;0,947;0,220;80,16;104,00;299,21
1,565;1,045;0,947;0,220;80,16;104,49;299,21
1,570;1,040;0,952;0,225;80,31;104,00;299,53
1,575;1,040;0,947;0,220;80,16;104,00;299,21
1,580;1,040;0,952;0,220;80,16;104,00;299,53
1,585;1,035;0,952;0,220;80,16;103,52;299,53
1,590;1,040;0,947;0,220;80,16;104,00;299,21
1,595;1,040;0,947;0,225;80,31;104,00;299,21
1,600;1,040;0,947;0,225;80,31;104,00;299,21
1,605;1,040;0,947;0,220;80,16;104,00;299,21
1,610;1,045;0,947;0,220;80,16;104,49;299,21
1,615;1,040;0,952;0,220;80,16;104,00;299,53
1,620;1,040;0,947;0,220;80,16;104,00;299,21
1,625;1,045;0,947;0,220;80,16;104,49;299,21
1,630;1,040;0,952;0,220;80,16;104,00;299,53
1,635;1,045;0,947;0,220;80,16;104,49;299,21
1,640;1,035;0,952;0,220;80,16;103,52;299,53
1,645;1,040;0,947;0,220;80,16;104,00;299,21
1,650;1,040;0,952;0,225;80,31;104,00;299,53
1,655;1,040;0,947;0,234;80,61;104,00;299,21
1,660;1,040;0,952;0,220;80,16;104,00;299,53
