Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
0,545;1,030;0,942;4,512;214,07;103,03;298,90
0,550;1,030;0,947;4,512;214,07;103,03;299,21
0,555;1,030;0,947;4,512;214,07;103,03;299,21
0,560;1,030;0,947;4,517;214,22;103,03;299,21
0,565;1,030;0,942;4,512;214,07;103,03;298,90
0,570;1,035;0,947;4,507;213,91;103,52;299,21
0,575;1,025;0,947;4,512;214,07;102,54;299,21
0,580;1,030;0,942;4,512;214,07;103,03;298,90
0,585;1,030;0,942;4,517;214,22;103,03;298,90
0,590;1,030;0,942;4,512;214,07;103,03;298,90
0,595;1,030;0,942;4,517;214,22;103,03;298,90
0,600;1,030;0,947;4,512;214,07;103,03;299,21
0,605;1,030;0,947;4,512;214,07;103,03;299,21
0,610;1,030;0,942;4,512;214,07;103,03;298,90
0,615;1,030;0,942;4,512;214,07;103,03;298,90
0,620;1,025;0,947;4,517;214,22;102,54;299,21
0,625;1,030;0,942;4,512;214,07;103,03;298,90
0,630;1,025;0,947;4,492;213,46;102,54;299,21
0,635;1,030;0,947;4,512;214,07;103,03;299,21
0,640;1,030;0,947;4,512;214,07;103,03;299,21
0,645;1,030;0,947;4,512;214,07;103,03;299,21
0,650;1,030;0,947;4,512;214,07;103,03;299,21
0,655;1,025;0,947;4,517;214,22;102,54;299,21
0,660;1,030;0,947;4,517;214,22;103,03;299,21
0,665;1,030;0,947;4,517;214,22;103,03;299,21
0,670;1,030;0,942;4,512;214,07;103,03;298,90
0,675;1,025;0,947;4,512;214,07;102,54;299,21
0,680;1,035;0,947;4,512;214,07;103,52;299,21
0,685;1,030;0,947;4,517;214,22;103,03;299,21
0,690;1,025;0,947;4,507;213,91;102,54;299,21
0,695;1,030;0,947;4,512;214,07;103,03;299,21
0,700;1,025;0,947;4,521;214,37;102,54;299,21
0,705;1,030;0,942;4,512;214,07;103,03;298,90
0,710;1,030;0,947;4,512;214,07;103,03;299,21
