Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
0,545;1,016;0,937;4,473;212,85;101,56;298,58
0,550;1,016;0,937;4,473;212,85;101,56;298,58
0,555;1,016;0,937;4,478;213,00;101,56;298,58
0,560;1,016;0,937;4,473;212,85;101,56;298,58
0,565;1,016;0,937;4,478;213,00;101,56;298,58
0,570;1,016;0,937;4,473;212,85;101,56;298,58
0,575;1,016;0,937;4,473;212,85;101,56;298,58
0,580;1,016;0,937;4,473;212,85;101,56;298,58
0,585;1,016;0,937;4,478;213,00;101,56;298,58
0,590;1,016;0,937;4,473;212,85;101,56;298,58
0,595;1,016;0,937;4,473;212,85;101,56;298,58
0,600;1,016;0,937;4,473;212,85;101,56;298,58
0,605;1,016;0,937;4,473;212,85;101,56;298,58
0,610;1,016;0,937;4,478;213,00;101,56;298,58
0,615;1,016;0,937;4,473;212,85;101,56;298,58
0,620;1,016;0,937;4,473;212,85;101,56;298,58
0,625;1,016;0,937;4,473;212,85;101,56;298,58
0,630;1,016;0,937;4,478;213,00;101,56;298,58
0,635;1,016;0,937;4,473;212,85;101,56;298,58
0,640;1,016;0,937;4,473;212,85;101,56;298,58
0,645;1,016;0,937;4,473;212,85;101,56;298,58
0,650;1,016;0,937;4,478;213,00;101,56;298,58
0,655;1,016;0,937;4,473;212,85;101,56;298,58
0,660;1,016;0,937;4,478;213,00;101,56;298,58
0,665;1,016;0,937;4,473;212,85;101,56;298,58
0,670;1,016;0,937;4,473;212,85;101,56;298,58
0,675;1,016;0,937;4,478;213,00;101,56;298,58
0,680;1,016;0,937;4,473;212,85;101,56;298,58
0,685;1,016;0,937;4,473;212,85;101,56;298,58
0,690;1,016;0,937;4,473;212,85;101,56;298,58
0,695;1,016;0,937;4,473;212,85;101,56;298,58
0,700;1,016;0,937;4,478;213,00;101,56;298,58
0,705;1,016;0,937;4,478;213,00;101,56;298,58
0,710;1,016;0,937;4,473;212,85;101,56;298,58
0,715;1,016;0,937;4,478;213,00;101,56;298,58
0,720;1,016;0,937;4,473;212,85;101,56;298,58
0,725;1,016;0,937;4,478;213,00;101,56;298,58
0,730;1,021;0,937;4,473;212,85;102,05;298,58
0,735;1,016;0,937;4,478;213,00;101,56;298,58
0,740;1,016;0,937;4,473;212,85;101,56;298,58
0,745;1,016;0,937;4,473;212,85;101,56;298,58
0,750;1,016;0,937;4,478;213,00;101,56;298,58
0,755;1,016;0,937;4,478;213,00;101,56;298,58
0,760;1,016;0,937;4,473;212,85;101,56;298,58
0,765;1,016;0,937;4,473;212,85;101,56;298,58
0,770;1,016;0,942;4,478;213,00;101,56;298,90
0,775;1,016;0,937;4,478;213,00;101,56;298,58
0,780;1,016;0,937;4,473;212,85;101,56;298,58
0,785;1,021;0,937;4,478;213,00;102,05;298,58
0,790;1,016;0,937;4,478;213,00;101,56;298,58
0,795;1,016;0,937;4,478;213,00;101,56;298,58
0,800;1,016;0,937;4,473;212,85;101,56;298,58
0,805;1,016;0,942;4,478;213,00;101,56;298,90
0,810;1,016;0,937;4,487;213,30;101,56;298,58
0,815;1,016;0,937;4,473;212,85;101,56;298,58
0,820;1,016;0,937;4,478;213,00;101,56;298,58
0,825;1,021;0,937;4,473;212,85;102,05;298,58
0,830;1,016;0,937;4,473;212,85;101,56;298,58
0,835;1,016;0,937;4,473;212,85;101,56;298,58
0,840;1,006;0,937;4,473;212,85;100,59;298,58
0,845;1,016;0,937;4,473;212,85;101,56;298,58
0,850;1,016;0,937;4,478;213,00;101,56;298,58
0,855;1,016;0,937;4,473;212,85;101,56;298,58
0,860;1,016;0,937;4,473;212,85;101,56;298,58
0,865;1,016;0,937;4,473;212,85;101,56;298,58
0,870;1,016;0,937;4,478;213,00;101,56;298,58
0,875;1,016;0,937;4,473;212,85;101,56;298,58
0,880;1,016;0,937;4,473;212,85;101,56;298,58
0,885;1,016;0,942;4,473;212,85;101,56;298,90
0,890;1,016;0,937;4,478;213,00;101,56;298,58
0,895;1,016;0,933;4,478;213,00;101,56;298,26
0,900;1,016;0,937;4,473;212,85;101,56;298,58
0,905;1,016;0,942;4,473;212,85;101,56;298,90
0,910;1,016;0,937;4,473;212,85;101,56;298,58
